i = 100	 pf = 0.5923712600000001
i = 200	 pf = 0.59255181
i = 300	 pf = 0.59265601
i = 400	 pf = 0.5925582950000001
i = 500	 pf = 0.5926141400000003
i = 600	 pf = 0.5926851833333331
i = 700	 pf = 0.5926452471428567
i = 800	 pf = 0.5926383037499998
i = 900	 pf = 0.5926517255555553
i = 1000	 pf = 0.5926663009999996
i = 1100	 pf = 0.5926297227272724
i = 1200	 pf = 0.5926198141666664
i = 1300	 pf = 0.5926653307692308
i = 1400	 pf = 0.5926334150000003
i = 1500	 pf = 0.5926514393333333
i = 1600	 pf = 0.5926686237500004
i = 1700	 pf = 0.5926726594117652
i = 1800	 pf = 0.5926591033333335
i = 1900	 pf = 0.5926619184210531
i = 2000	 pf = 0.5926598035000005
i = 2100	 pf = 0.5926734600000005
i = 2200	 pf = 0.5926572177272725
i = 2300	 pf = 0.5926523739130429
i = 2400	 pf = 0.5926555579166666
i = 2500	 pf = 0.5926517276
i = 2600	 pf = 0.5926665884615379
i = 2700	 pf = 0.5926676766666663
i = 2800	 pf = 0.592671694642857
i = 2900	 pf = 0.5926750168965519
i = 3000	 pf = 0.5926775633333334
i = 3100	 pf = 0.5926923067741939
i = 3200	 pf = 0.5926849428125
i = 3300	 pf = 0.5926893118181816
i = 3400	 pf = 0.5927013894117649
i = 3500	 pf = 0.5927015860000001
i = 3600	 pf = 0.5927043819444441
i = 3700	 pf = 0.5927054035135133
i = 3800	 pf = 0.5926966502631573
i = 3900	 pf = 0.592699243076922
i = 4000	 pf = 0.5926977819999983
i = 4100	 pf = 0.5926986865853644
i = 4200	 pf = 0.5927043757142841
i = 4300	 pf = 0.5927050567441843
i = 4400	 pf = 0.5927040779545439
i = 4500	 pf = 0.5927029935555544
i = 4600	 pf = 0.5926988747826073
i = 4700	 pf = 0.5926998238297863
i = 4800	 pf = 0.5927053764583323
i = 4900	 pf = 0.5926981446938766
i = 5000	 pf = 0.5926992497999996
0.5926992497999996
